generation,N,z
271,3.940012308186231,-10.809584477949555
272,3.925940744721116,-10.821404514874114
273,3.911969873177357,-10.833182337108278
274,3.8980986127832336,-10.84491824672781
275,3.8843258982201605,-10.85661254256616
276,3.870650679346895,-10.86826552026082
277,3.857071920929644,-10.879877472298862
278,3.8435886023779156,-10.89144868806165
279,3.830199717485982,-10.902979453868785
280,3.8169042741798074,-10.914470053021242
281,3.8037012942693083,-10.925920765843781
282,3.790589813205818,-10.937331869726588
283,3.7775688798446256,-10.948703639166206
284,3.764637556212469,-10.96003634580574
285,3.751794917279855,-10.971330258474378
286,3.7390400507380948,-10.982585643226217
287,3.7263720567809435,-10.993802763378431
288,3.7137900478907273,-11.004981879548774
289,3.701293148628853,-11.016123249692447
290,3.6888804954305954,-11.027227129138334
291,3.676551236404065,-11.038293770624625
292,3.664304531133248,-11.049323424333837
293,3.6521395504850305,-11.060316337927237
294,3.6400554764201085,-11.071272756578692
295,3.628051501807698,-11.082192923007952
296,3.6161268302439455,-11.093077077513374
297,3.604280675873968,-11.103925458004106
298,3.5925122632174213,-11.114738300031728
299,3.5808208269975315,-11.12551583682138
